id,title,address,district_id,lat,lon,area,price,price_per_m2,state,url
4893461,Praktický 2i tehlový byt v tichom prostredí,Vetvárska,bratislava-ii-podunajske-biskupice,48.12642669,17.2116065,54.0,169990.0,3147.962962962963,pôvodný stav,https://www.nehnutelnosti.sk/4893461/prakticky-2i-tehlovy-byt-v-tichom-prostredi/
4946612,"Predaj, dvojizbový byt Bratislava Podunajské Biskupice - EXKLUZÍVNE HALO REALITY",Bratislava II - Podunajské Biskupice,bratislava-ii-podunajske-biskupice,48.1251068,17.2107906,45.0,159000.0,3533.3333333333335,čiastočná rekonštrukcia,https://www.nehnutelnosti.sk/4946612/predaj-dvojizbovy-byt-bratislava-podunajske-biskupice-exkluzivne-halo-reality/
4879765,2-izb. byt s loggiou v novostavbe na Kazanskej ul. v Podunajských Biskupiciach,Kazanská,bratislava-ii-podunajske-biskupice,48.1345078,17.205864,-1.0,159000.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4879765/2-izb-byt-s-loggiou-v-novostavbe-na-kazanskej-ul-v-podunajskych-biskupiciach/
4870396,Predaj 2-izb. bytu v Podunajských Biskupiciach,Podunajské Biskupice,bratislava-ii-podunajske-biskupice,48.1251057,17.2107902,50.0,176000.0,3520.0,čiastočná rekonštrukcia,https://www.nehnutelnosti.sk/4870396/predaj-2-izb-bytu-v-podunajskych-biskupiciach/
4830267,Predaj 2-izb. bytu v Podunajských Biskupiciach,Vrakunská,bratislava-ii-podunajske-biskupice,48.1371123,17.1993069,57.0,213900.0,3752.6315789473683,kompletná rekonštrukcia,https://www.nehnutelnosti.sk/4830267/predaj-2-izb-bytu-v-podunajskych-biskupiciach/
4942802,ZEE | NOVINKA | Krásny 2 izbový byt s park. miestom,Podzáhradná,bratislava-ii-podunajske-biskupice,48.1337472,17.2041492,-1.0,174900.0,-1.0,čiastočná rekonštrukcia,https://www.nehnutelnosti.sk/4942802/zee-novinka-krasny-2-izbovy-byt-s-park-miestom/
4776899,"2-izbový byt na predaj, Podunajské Biskupice, Bratislava II",Podunajské Biskupice,bratislava-ii-podunajske-biskupice,17.1887056,48.1403407,-1.0,360000.0,-1.0,čiastočná rekonštrukcia,https://www.nehnutelnosti.sk/4776899/2-izbovy-byt-na-predaj-podunajske-biskupice-bratislava-ii/
4934488,NA PREDAJ 2 - IZBOVÝ BYT S LOGGIOU,Bieloruská,bratislava-ii-podunajske-biskupice,48.1393266,17.200566,56.0,154000.0,2750.0,kompletná rekonštrukcia,https://www.nehnutelnosti.sk/4934488/na-predaj-2-izbovy-byt-s-loggiou/
4629525,"REZERVOVANÉ!!! 2 izbový byt s loggiou, Bratislava - Podunajské Biskupice",Podzáhradná,bratislava-ii-podunajske-biskupice,48.133747,17.20420267,54.0,-1.0,-1.0,čiastočná rekonštrukcia,https://www.nehnutelnosti.sk/4629525/rezervovane-2-izbovy-byt-s-loggiou-bratislava-podunajske-biskupice/
4950139,2-izbový byt - apartmán v novom projekte BývanieSvornosti Byt J3,Svornosti,bratislava-ii-podunajske-biskupice,48.122093,17.203893,-1.0,1.0,-1.0,novostavba,https://www.nehnutelnosti.sk/4950139/2-izbovy-byt-apartman-v-novom-projekte-byvaniesvornosti-byt-j3/
4865649,Predaj 2 izbový byt Podunajské Biskupice,Podunajská,bratislava-ii-podunajske-biskupice,48.143098,17.19891,50.0,179000.0,3580.0,kompletná rekonštrukcia,https://www.nehnutelnosti.sk/4865649/predaj-2-izbovy-byt-podunajske-biskupice/
4650194,Kompletne zariadený 2 izbový byt s veľkou loggiou,Geologická,bratislava-ii-podunajske-biskupice,48.13828789,17.19578912,43.0,137000.0,3186.046511627907,čiastočná rekonštrukcia,https://www.nehnutelnosti.sk/4650194/kompletne-zariadeny-2-izbovy-byt-s-velkou-loggiou/
4943572,BA - Podunajské Biskupice,Lotyšská,bratislava-ii-podunajske-biskupice,48.1386396,17.2001886,49.0,139900.0,2855.1020408163267,pôvodný stav,https://www.nehnutelnosti.sk/4943572/ba-podunajske-biskupice/
